source_name,url,search_term_used,result_status,data_retrieved,timestamp,notes
WebSearch - Cause Number,Google/Bing Search,201812599 Harris County tax suit,NO DIRECT HITS,NONE,2026-05-16,Cause number not indexed publicly
WebSearch - Tax Sale Listing,Google/Bing Search,0610390000020 OR 061-039-000-0020 Harris County tax sale,URL CONFIRMED,hctax.net URL confirmed,2026-05-16,Property in Precinct 1 tax sale inventory confirmed by URL
WebSearch - Bankruptcy,Google/Bing Search,Rameshwar Nangunoori bankruptcy Southern District Texas,NO RESULTS,NONE,2026-05-16,Absence of result NOT confirmation of no bankruptcy
WebSearch - IRS Lien,Google/Bing Search,NANGUNORRI NANGUNOORI IRS federal tax lien Texas,NO RESULTS,NONE,2026-05-16,Absence of result NOT confirmation of no lien
WebSearch - SC Property,Google/Bing Search,344 Claybrooke Dr Greer SC 29650 owner Nangunoori,PARTIAL DATA,Property data retrieved; owner not confirmed,2026-05-16,3 bed/2.5 bath; parcel 0533.23-01-129.00; tax assessment data only
WebSearch - March 2023 Sale,Google/Bing Search,1516 W 34th Houston TX sold March 2023 owner,PARTIAL DATA,Sale date ~March 9 2023 referenced,2026-05-16,Non-disclosure state; price not available; new owner unknown
ClustrMaps.com - Address Persons,https://clustrmaps.com/a/27djk4/,"Raval" + "1516 W 34th" Harris County,PARTIAL DATA (snippet only),"Page title confirms: RAVAL MARIA CAROLINA and NANGUNORRI RAMESHWARRAO listed at 1516 W 34th St Houston TX",2026-05-16,HTTP 403 blocked direct access; data from Google snippet; aggregator not title proof
WebSearch - Raval Vinaychandra,Google/Bing Search,"Vinaychandra Raval" OR "Vinayshandra Raval" Harris County Texas deed property lien,NO RESULTS,NONE,2026-05-16,No public web records found for either name variant in Texas context
WebSearch - Raval Texas property,Google/Bing Search,"Vinaychandra Raval" OR "Vinayshandra Raval" Texas deed mortgage lien creditor 2010-2020,NO RESULTS,NONE,2026-05-16,No public web records found
WebSearch - Maria Carolina Raval,Google/Bing Search,"Maria Carolina Raval" OR "Raval Maria Carolina" Houston Texas property,NO DIRECT HITS,NONE,2026-05-16,Name confirmed by aggregator but no direct property record hit found
WebSearch - Raval Garden Home,Google/Bing Search,"Raval" "Nangunoori" OR "Nangunorri" OR "1516 W 34th" Harris County property interest deed trust,PARTIAL DATA (snippet only),"ClustrMaps snippet confirms both names at address",2026-05-16,Only snippet data; full page blocked
Harris County District Clerk - Cause 201812599 defendant list,https://www.hcdistrictclerk.com/edocs/public/search.aspx,Cause Number 201812599,HTTP 403 BLOCKED,NONE,2026-05-16,Full defendant list not retrieved; must access manually to identify all defendants including Raval
WebSearch - Modera Oak Forest general,Google/Bing Search,"Modera Oak Forest" Houston Texas replat subdivision planning,PARTIAL DATA,Project at 1624 W 34th St Houston TX confirmed; Mill Creek Residential developer confirmed,2026-05-16,Development in PLANNED status per Berkadia Q1 2024
WebSearch - Modera Oak Forest 2024-2026,Google/Bing Search,"Modera Oak Forest" Houston apartment development replat 2024 2025 2026,PARTIAL DATA,Mill Creek Residential developer; Berkadia pipeline reports reference project; status PLANNED as of Q1 2024,2026-05-16,Berkadia PDFs blocked; data from Google snippet only
HAIF Forum - Modera Oak Forest thread,https://www.houstonarchitecture.com/topic/48616-modera-oak-forest-multifamily-at-1624-w-34th-st/,"Modera Oak Forest" "1624 W 34th" Houston,HTTP 403 BLOCKED,Thread title only: confirms 1624 W 34th address and project name,2026-05-16,Full forum content blocked; must access manually for project details
LoopNet - 1624 W 34th listing #31846336,https://www.loopnet.com/Listing/1624-W-34th-St-Houston-TX/31846336/,1624 W 34th Houston TX development site,HTTP 403 BLOCKED,Snippet confirms "+/-2.74 Acre Dev" listing,2026-05-16,Full listing not accessible; access manually for parcel IDs seller broker and price
LoopNet - 1624 W 34th listing #20754419,https://www.loopnet.com/Listing/1624-W-34th-St-Houston-TX/20754419/,1624 W 34th Houston TX development site,HTTP 403 BLOCKED,Prior listing; building described as former church ~0.99 acres,2026-05-16,Full listing not accessible; access manually
Berkadia Q2 2023 Houston Pipeline Report,https://www.berkadia.com/wp-content/uploads/2023/09/Berkadia-Q2-2023-Houston-Construction-Pipeline-Report.pdf,Modera Oak Forest NW Houston 2023,HTTP 403 BLOCKED,Google snippet confirms: Modera Oak Forest at 1624 W 34th listed as PLANNED,2026-05-16,Full PDF not accessible; project confirmed in PLANNED status August 2023
Berkadia Q1 2024 Houston Pipeline Report,https://www.berkadia.com/wp-content/uploads/2024/05/Houston-Construction-Pipeline-Report-Q1-2024-Berkadia.pdf,Modera Oak Forest NW Houston 2024,HTTP 403 BLOCKED,Google snippet confirms: Modera Oak Forest still listed as PLANNED April 2024,2026-05-16,Full PDF not accessible; project still in PLANNED stage as of April 2024
Houston PlatTracker Map,https://plattracker.houstontx.gov/edrc/PSVerPlatMap2.aspx,Oak Forest / Garden Home / 1516 W 34th replat,HTTP 403 BLOCKED,NONE,2026-05-16,Must access manually; search by address or parcel number
Houston Planning Commission Agendas (multiple 2024-2026),https://www.houstontx.gov/planning/Commissions/commiss_plan.html,Garden Home / W 34th / Modera / Mill Creek replat,HTTP 403 BLOCKED,NONE,2026-05-16,All agenda PDFs returned 403; must download manually and search for W 34th items
City of Houston Plat Activity Reports,https://www.houstontx.gov/planning/DevelopRegs/dev_reports.html,Garden Home replat / Modera Oak Forest,HTTP 403 BLOCKED,NONE,2026-05-16,Access manually for Excel-format plat activity data
HCAD - Adjacent parcel 061-039-000-0013,https://public.hcad.org/records/details.asp?acct=0610390000013,HCAD account 0610390000013,HTTP 403 BLOCKED,NONE,2026-05-16,Adjacent parcel owner unknown; must check manually
HCAD - Adjacent parcel 061-039-000-0018,https://public.hcad.org/records/details.asp?acct=0610390000018,HCAD account 0610390000018,HTTP 403 BLOCKED,NONE,2026-05-16,Adjacent parcel owner unknown; must check manually
HCAD - Adjacent parcel 061-039-000-0019,https://public.hcad.org/records/details.asp?acct=0610390000019,HCAD account 0610390000019,HTTP 403 BLOCKED,NONE,2026-05-16,Adjacent parcel owner unknown; must check manually
WebSearch - HAIF W 34th multifamily,Google/Bing Search,Houston W 34th Street development Garden Home parcels multifamily 2022-2024,PARTIAL DATA,"HAIF forum topics on multiple W 34th development projects; D'Agostino Multifamily at 1924 W 34th noted",2026-05-16,W 34th corridor active development confirmed
WebSearch - Berkadia pipeline Modera,Google/Bing Search,"Berkadia Houston ""Modera Oak Forest"" ""1624 W 34th"" units planned 2023-2025",PARTIAL DATA,Project confirmed as PLANNED; no unit count retrieved from snippet,2026-05-16,Multiple Berkadia pipeline reports reference Modera Oak Forest
WebSearch - Harris County tax suit defendants,Google/Bing Search,"Harris County District Clerk cause 201812599 defendants parties tax suit ""1516 W 34th""",NO RESULTS,NONE,2026-05-16,Cause number not publicly indexed; must access District Clerk directly
