county,market,trustee_company_name,website,foreclosure_listing_url,auction_calendar_url,sale_posting_url,addresses_shown,owner_names_shown,opening_bids_shown,unpaid_balance_shown,pdfs_downloadable,auction_dates_public,searchable_by_county,searchable_by_zip,update_frequency,source_type,automation_score,lead_quality_score,investor_intel_score,notes,verified_date,verification_status,source_link
Dallas County TX,Dallas,Mackie Wolf Zientz & Mann PC – Dallas,https://www.mwzmlaw.com,https://www.mwzmlaw.com/foreclosure-postings/,NONE,https://www.mwzmlaw.com/foreclosure-postings/,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Trustee Law Firm,8,9,8,"Active in Dallas County. See Harris County entry. Multi-county coverage.",2026-05-15,VERIFIED,https://www.mwzmlaw.com/foreclosure-postings/
Dallas County TX,Dallas,Buczek Enterprises – Dallas Postings,https://www.buczekenterprises.com,https://www.buczekenterprises.com/,NONE,https://www.buczekenterprises.com/,YES,YES,YES,NO,YES,YES,NO,NO,Monthly,Trustee Law Firm,8,9,8,"Multi-county Texas trustee firm. Dallas County postings included. PDFs available.",2026-05-15,VERIFIED,https://www.buczekenterprises.com
Dallas County TX,Dallas,Foreclosure.com – Dallas TX,https://www.foreclosure.com,https://www.foreclosure.com/foreclosure/tx/dallas/,NONE,https://www.foreclosure.com/foreclosure/tx/dallas/,YES,YES,YES,NO,NO,YES,YES,YES,Daily,Foreclosure Platform,7,8,7,"Aggregated Dallas County listings. Subscription for full data. Good for pre-foreclosure and wholesale research.",2026-05-15,VERIFIED,https://www.foreclosure.com/foreclosure/tx/dallas/
Dallas County TX,Dallas,PropertyRadar – Dallas County,https://www.propertyradar.com,https://www.propertyradar.com/,NONE,https://www.propertyradar.com/,YES,YES,YES,YES,NO,YES,YES,YES,Daily,Foreclosure Platform,9,9,9,"Same platform as Harris. Excellent for Dallas County trustee-sale monitoring. Best automation candidate.",2026-05-15,VERIFIED,https://www.propertyradar.com
Dallas County TX,Dallas,Dallas Morning News – Public Notices,https://www.dallasnews.com,https://www.dallasnews.com/public-notices/,NONE,https://www.dallasnews.com/public-notices/,YES,YES,NO,NO,NO,YES,NO,NO,Weekly,Legal Newspaper,5,7,5,"State-required legal newspaper for Dallas County. Trustee sale notices published. Searchable online. Important cross-reference source.",2026-05-15,VERIFIED,https://www.dallasnews.com/public-notices/
Dallas County TX,Dallas,Dallas County Tax Office – Delinquent Tax Sales,https://www.dallascountytax.com,https://www.dallascountytax.com/,NONE,https://www.dallascountytax.com/,YES,NO,YES,NO,NO,YES,YES,NO,Per-sale cycle,Tax Sale Source,6,7,6,"Dallas County tax sale listings. Delinquent property tax auctions. Opening bids reflect tax liens. Good for distressed acquisition pipeline.",2026-05-15,VERIFIED,https://www.dallascountytax.com
Dallas County TX,Dallas,Dallas Courthouse Steps – George Allen Courthouse,NONE,NONE,NONE,NONE,YES,YES,NO,NO,NO,YES,NO,NO,Monthly (first Tuesday),Official County Source,2,9,7,"Physical courthouse steps auction at George Allen Courts Building 600 Commerce St Dallas TX. No online live feed. Local presence or agent required.",2026-05-15,VERIFIED,NONE
Dallas County TX,Dallas,Texas HOA Foreclosure Filings – Dallas,https://www.dallascounty.org,https://www.dallascounty.org/departments/countyclerk/,NONE,https://www.dallascounty.org/departments/countyclerk/,YES,YES,NO,NO,YES,YES,YES,NO,Monthly,HOA Foreclosure Source,6,7,5,"HOA foreclosure notices filed with Dallas County Clerk. Cross-reference with deed of trust filings. Good source for distressed HOA properties.",2026-05-15,UNVERIFIED,https://www.dallascounty.org/departments/countyclerk/
Dallas County TX,Dallas,LOGS.org – Legal Notice Platform Texas,https://logs.org,https://logs.org/,NONE,https://logs.org/,YES,YES,YES,NO,YES,YES,YES,YES,Monthly,Public Notice Website,7,8,7,"Statewide Texas legal notice aggregator used by multiple trustee firms. Searchable by county. PDFs downloadable. Good automation candidate.",2026-05-15,VERIFIED,https://logs.org/
Tarrant County TX,Fort Worth,Tarrant County Clerk – Foreclosure Notices,https://www.tarrantcounty.com,https://www.tarrantcounty.com/en/court-records/county-clerk.html,NONE,https://www.tarrantcounty.com/en/court-records/county-clerk.html,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Official County Source,7,9,9,"Official Tarrant County foreclosure filing repository. Critical primary source. First-Tuesday auction data. PDFs available. Covers Fort Worth and Arlington markets.",2026-05-15,VERIFIED,https://www.tarrantcounty.com/en/court-records/county-clerk.html
Tarrant County TX,Fort Worth,Tarrant Appraisal District (TAD),https://www.tad.org,https://www.tad.org/,NONE,NONE,YES,YES,NO,NO,NO,NO,YES,YES,Continuous,Official County Source,6,5,5,"Property lookup for Tarrant County. Owner and valuation data. Useful for pre-foreclosure research and skip-tracing.",2026-05-15,VERIFIED,https://www.tad.org
Tarrant County TX,Fort Worth,Barrett Daffin Frappier Turner & Engel LLP – Tarrant,https://www.bdfgroup.com,https://www.bdfgroup.com/foreclosure-posting/,NONE,https://www.bdfgroup.com/foreclosure-posting/,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Trustee Law Firm,8,9,9,"Dominant trustee firm in Tarrant County as well. Same platform. Critical source for Fort Worth and Arlington foreclosure lists.",2026-05-15,VERIFIED,https://www.bdfgroup.com/foreclosure-posting/
Tarrant County TX,Fort Worth,Mackie Wolf Zientz & Mann PC – Tarrant,https://www.mwzmlaw.com,https://www.mwzmlaw.com/foreclosure-postings/,NONE,https://www.mwzmlaw.com/foreclosure-postings/,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Trustee Law Firm,8,9,8,"Active in Tarrant County. Multi-county Texas coverage.",2026-05-15,VERIFIED,https://www.mwzmlaw.com/foreclosure-postings/
Tarrant County TX,Fort Worth,Buczek Enterprises – Tarrant Postings,https://www.buczekenterprises.com,https://www.buczekenterprises.com/,NONE,https://www.buczekenterprises.com/,YES,YES,YES,NO,YES,YES,NO,NO,Monthly,Trustee Law Firm,8,9,8,"Multi-county Texas trustee firm. Tarrant County coverage. PDFs available.",2026-05-15,VERIFIED,https://www.buczekenterprises.com
Tarrant County TX,Arlington,Foreclosure.com – Fort Worth TX,https://www.foreclosure.com,https://www.foreclosure.com/foreclosure/tx/fort-worth/,NONE,https://www.foreclosure.com/foreclosure/tx/fort-worth/,YES,YES,YES,NO,NO,YES,YES,YES,Daily,Foreclosure Platform,7,8,7,"Aggregated Tarrant County listings. Fort Worth and Arlington coverage. Subscription required.",2026-05-15,VERIFIED,https://www.foreclosure.com/foreclosure/tx/fort-worth/
Tarrant County TX,Fort Worth,PropertyRadar – Tarrant County,https://www.propertyradar.com,https://www.propertyradar.com/,NONE,https://www.propertyradar.com/,YES,YES,YES,YES,NO,YES,YES,YES,Daily,Foreclosure Platform,9,9,9,"Best automation candidate for Tarrant County as well. Multi-county coverage on same platform.",2026-05-15,VERIFIED,https://www.propertyradar.com
Tarrant County TX,Fort Worth,Fort Worth Star-Telegram – Public Notices,https://www.star-telegram.com,https://www.star-telegram.com/public-notices/,NONE,https://www.star-telegram.com/public-notices/,YES,YES,NO,NO,NO,YES,NO,NO,Weekly,Legal Newspaper,5,7,5,"State-required legal newspaper for Tarrant County. Trustee sale notices published per Texas law. Important cross-reference.",2026-05-15,VERIFIED,https://www.star-telegram.com/public-notices/
Tarrant County TX,Fort Worth,Tarrant County Tax Office – Tax Delinquent Sales,https://www.tarrantcounty.com,https://www.tarrantcounty.com/en/tax.html,NONE,https://www.tarrantcounty.com/en/tax.html,YES,NO,YES,NO,NO,YES,YES,NO,Per-sale cycle,Tax Sale Source,6,7,6,"Tarrant County tax delinquent property auctions. Opening bids reflect tax lien amounts.",2026-05-15,VERIFIED,https://www.tarrantcounty.com/en/tax.html
Tarrant County TX,Fort Worth,Tarrant Courthouse Steps – Tim Curry Justice Center,NONE,NONE,NONE,NONE,YES,YES,NO,NO,NO,YES,NO,NO,Monthly (first Tuesday),Official County Source,2,9,7,"Physical courthouse steps auction at Tim Curry Criminal Justice Center 200 Taylor St Fort Worth TX. No online live feed.",2026-05-15,VERIFIED,NONE
Tarrant County TX,Fort Worth,LOGS.org – Tarrant County Notices,https://logs.org,https://logs.org/,NONE,https://logs.org/,YES,YES,YES,NO,YES,YES,YES,YES,Monthly,Public Notice Website,7,8,7,"Covers Tarrant County trustee-sale notices. Same platform as other counties. Multi-county PDF download capability.",2026-05-15,VERIFIED,https://logs.org/
Tarrant County TX,Arlington,Arlington Morning News – Public Notices,https://www.arlingtonmorningnews.com,https://www.arlingtonmorningnews.com/public-notices/,NONE,https://www.arlingtonmorningnews.com/public-notices/,YES,YES,NO,NO,NO,YES,NO,NO,Weekly,Legal Newspaper,4,6,4,"Arlington-area legal newspaper. Trustee-sale notices for Tarrant County Arlington market. Cross-reference source.",2026-05-15,UNVERIFIED,https://www.arlingtonmorningnews.com/public-notices/
